dmanum,week,ex_loy_kc_reg,ex_loy_nkc_reg,ex_nloy_kc_reg,ex_nloy_nkc_reg,new_loy_kc_reg,new_loy_nkc_reg,new_nloy_kc_reg,new_nloy_nkc_reg,ex_loy_kc_final,ex_loy_nkc_final,ex_nloy_kc_final
513,11/2/2015,1124735.919,155492.625,311223.4592,94196.33408,1493.480005,3083.750001,32225.04336,38046.26998,549751.59,78479.41,168684.11
513,11/9/2015,3491881.004,205881.8093,1031253.525,107878.9084,3083.379999,3773.469998,49147.2,39695.60945,1439788.43,97222.48,446435.24
513,11/16/2015,3443245.626,229866.4934,862949.0708,127388.5188,4022.840019,8855.679999,45938.078,39764.78643,1436109.43,104430.04,374670.49
513,11/23/2015,6746858.697,867952.3196,1641440.112,564320.237,12416.19336,25994.26197,202252.7871,268178.5341,2561291.67,335419.39,645649.3
513,11/30/2015,5176652.377,684225.7407,1299287.633,426108.0732,4309.784991,18299.7675,68883.59991,163766.4293,1814338.97,228942.08,497726.16
513,12/7/2015,4286710.148,284823.0493,1359061.216,211032.9484,3788.370018,6607.660005,65456.64499,88400.8787,1740584.54,125073.55,568704.7
513,12/14/2015,5035604.755,397420.2064,1666917.704,263711.9094,6059.157514,10715.47168,114894.6083,93119.72499,2034017.81,178861.36,692555.46
513,12/21/2015,3371017.738,305199.4277,1130804.585,195930.8199,5809.259993,10130.98002,123182.31,60802.15663,1369364.93,135552.92,468565.37
513,12/28/2015,969073.2575,139816.1236,229056.2067,65979.89791,2957.069994,4004.365001,16418.99002,23490.49499,362144.81,59910.33,95079.58
514,10/26/2015,1922617.767,260034.176,368974.6414,82332.63934,3813.359991,4683.160002,30344.826,50470.03335,913299.09,137223.03,193713.64
514,11/2/2015,1583947.635,255298.3787,392992.7883,85168.66992,4734.99001,8585.739996,38097.49002,39544.04334,772129.42,130508.6,211380.96
514,11/9/2015,5569514.847,325391.9226,1422150.04,102692.0032,6048.379999,5913.649999,65087.89668,56308.95731,2275367.18,153854.87,602008.12
514,11/16/2015,4624793.834,382423.4623,1070147.378,128974.1652,7491.010003,13419.04999,65356.70335,65261.32326,1903863.34,172751.94,462106.76
514,11/23/2015,8510766.893,1242668.152,1698951.011,489984.8684,24018.21671,43006.76726,197150.4979,339565.4194,3282471.51,489297.97,680694.04
514,11/30/2015,7329652.256,1010376.308,1695673.126,414568.0753,12612.54999,33671.42535,80309.5291,229887.7582,2596436.15,349212.76,661831.67
514,12/7/2015,5759245.902,463163.0858,1635261.621,208627.1453,13663.83001,10399.58666,89825.12338,126246.3329,2318636.2,205162.43,679489.41
514,12/14/2015,7265812.5,659618.9846,2139523.317,256977.7227,15287.82499,17094.40665,133568.5207,154050.7916,2900022.02,295432.75,882456.32
514,12/21/2015,4421238.51,527714.728,1363774.208,196925.1711,21128.07803,11871.29749,141583.5801,92749.945,1767917.02,234072.42,562301.07
514,12/28/2015,1367252.131,193577.2772,310317.1561,60740.00628,1977.859998,6755.489998,17576.30999,25821.71666,533870.69,86566.08,127124.59
515,10/26/2015,3733655.708,567190.0672,757416.873,183419.1177,6919.509991,9341.829992,42987.46,65859.70028,1784225.09,298416.69,392848.01
515,11/2/2015,3245622.481,567847.4151,797473.586,184449.5801,7381.555997,13592.59334,47634.39665,78418.1446,1640184.78,300654.59,433600.24
515,11/9/2015,9329698.467,686800.3463,2419235.06,227498.8616,8612.849978,27423.65272,87859.75998,81584.52517,3892354.68,336698.72,1045127.66
515,11/16/2015,8556038.498,810941.1579,1887275.673,286542.1706,16267.82728,29293.90117,82465.65372,103499.7196,3585073.55,375058,820323.47
515,11/23/2015,17574263.89,2637544.992,3755100.335,987897.0959,56979.21399,71003.70353,367070.8467,444330.711,6795045.44,1039973.88,1488467.24
515,11/30/2015,14402652.88,2231664.538,3314741.253,815111.81,18761.89372,57741.17972,136667.9033,341808.0744,5112545.03,782936.7,1266850.46
515,12/7/2015,11519963.43,1016904.867,3257400.441,439000.3827,17037.41089,20520.37,121687.8501,180081.3877,4706554.61,459339.95,1362887.1
515,12/14/2015,14929138.7,1526691.541,4229510.342,551204.4177,26505.21867,42882.49833,238737.5336,251117.4157,6005684.01,691625.92,1743570.61
515,12/21/2015,9889420.606,1274087.068,3005159.458,468718.8822,26216.78101,34451.30464,282334.3475,160395.9087,4036048.49,580379.46,1248816.77
515,12/28/2015,2726438.32,441260.1574,580739.9116,144670.1227,5278.480001,10518.43967,30105.04892,47940.52113,1055602.67,195332.01,237898.11
516,10/26/2015,419213.3001,36582.75601,116386.3354,30168.22505,1023.319999,1261.889997,4480.260002,10450.99572,196286.75,17993.71,57555.92
516,11/2/2015,340789.08,36264.62998,104813.13,24714.77626,934.360004,633.409999,5778.329992,9812.929984,161848.68,17691.91,56305.79
516,11/9/2015,1175279.617,45729.34589,381569.9741,33688.64168,2648.050002,1540.646666,15476.46999,14608.8,482922.7,21478.06,160781.35
516,11/16/2015,1034266.255,52658.96813,282372.8442,35712.84999,604.789998,2887.905005,8098.225003,14367.475,426559.18,23747.94,122159.93
516,11/23/2015,1901392.843,208661.8114,474746.0565,169732.0435,2537.240581,10009.57111,40203.18642,90203.79105,729832.88,80813.49,187828.73
516,11/30/2015,1636963.322,191054.2296,458561.7112,143993.6591,617.889997,12488.19499,18679.945,60672.16116,584003.9,64017.45,173724.89
516,12/7/2015,1335328.404,69354.81799,462400.1427,63261.20588,1099.739997,1848.540004,21932.085,30777.34332,539287.44,29345.9,194821.43
516,12/14/2015,1520899.236,82399.67696,557088.7522,80239.38835,2046.819988,4517.289985,31958.06002,35237.71332,611186.02,36636.04,228461.42
516,12/21/2015,933704.0761,67324.56926,337687.5834,63690.97664,1212.720002,3488.630022,36443.60996,18623.51,371219,29458.63,141922.29
516,12/28/2015,290497.0295,36979.02529,81429.61144,23053.47999,240.980001,1543.75,6486.045009,5098.30332,111286.59,15501.3,34040.81
517,10/26/2015,2145992.83,297152.1909,579397.9542,195386.8437,3294.29,7172.574159,47343.03443,92509.83454,1047066.2,155313.21,315948.23
517,11/2/2015,1963757.289,294388.0341,641250.3468,218577.2719,4685.029992,11972.20999,59791.00951,87540.71098,1005987.78,153962.8,354409.81
517,11/9/2015,5394471.17,366890.0975,1811328.708,251662.1182,11756.55502,9472.911891,96535.14997,108680.8075,2252597.99,176858.99,786890.32
517,11/16/2015,4609401.362,422423.9929,1318616.021,285753.0649,7659.362488,20214.235,84752.52584,112872.7925,1948309.05,194942.48,589525.52
517,11/23/2015,10104455.37,1428056.865,3143678.497,1143779.697,25861.64958,69195.35731,392030.6176,623543.1729,3925497.25,565485.58,1263626.07
517,11/30/2015,7971598.361,1161081.002,2343271.112,879454.5335,5886.539994,31452.93609,132562.3165,411304.8432,2842820.72,407786.3,913856.25
517,12/7/2015,6519845.38,569272.7353,2380823.682,499045.93,7260.289991,12146.64319,134323.5311,221679.1334,2700573.56,256017.06,1024053.5
517,12/14/2015,8426027.547,743610.3302,3144236.119,618928.2638,19267.52334,19878.54669,232365.3304,285524.8366,3494806.46,340750.14,1340163.07
