week,dmanum,lr_spd,lr_grp,lr_imp,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
4/22/2013,825,4683,18.4,117575.632,4683,18.4,117575.632,4683,18.4,117575.632,4683,18.4,117575.632,4683,18.4,117575.632,4683,18.4,117575.632,4683,18.4,117575.632,4683,18.4,117575.632,4683,18.4,117575.632,4683,18.4,117575.632,4683,18.4,117575.632,4683,18.4,117575.632,4683,18.4,117575.632,4683,18.4,117575.632,4683,18.4,117575.632,4683,18.4,117575.632,4683,18.4,117575.632,4683,18.4
4/22/2013,862,6025,21.7,170939.58,6025,21.7,170939.58,6025,21.7,170939.58,6025,21.7,170939.58,6025,21.7,170939.58,6025,21.7,170939.58,6025,21.7,170939.58,6025,21.7,170939.58,6025,21.7,170939.58,6025,21.7,170939.58,6025,21.7,170939.58,6025,21.7,170939.58,6025,21.7,170939.58,6025,21.7,170939.58,6025,21.7,170939.58,6025,21.7,170939.58,6025,21.7,170939.58,6025,21.7
4/29/2013,511,0,0.7,10016.195,0,0.7,10016.195,0,0.7,10016.195,0,0.7,10016.195,0,0.7,10016.195,0,0.7,10016.195,0,0.7,10016.195,0,0.7,10016.195,0,0.7,10016.195,0,0.7,10016.195,0,0.7,10016.195,0,0.7,10016.195,0,0.7,10016.195,0,0.7,10016.195,0,0.7,10016.195,0,0.7,10016.195,0,0.7,10016.195,0,0.7
4/29/2013,618,0,16.6,226040.54,0,16.6,226040.54,0,16.6,226040.54,0,16.6,226040.54,0,16.6,226040.54,0,16.6,226040.54,0,16.6,226040.54,0,16.6,226040.54,0,16.6,226040.54,0,16.6,226040.54,0,16.6,226040.54,0,16.6,226040.54,0,16.6,226040.54,0,16.6,226040.54,0,16.6,226040.54,0,16.6,226040.54,0,16.6,226040.54,0,16.6
5/6/2013,511,0,2.8,40064.78,0,2.8,40064.78,0,2.8,40064.78,0,2.8,40064.78,0,2.8,40064.78,0,2.8,40064.78,0,2.8,40064.78,0,2.8,40064.78,0,2.8,40064.78,0,2.8,40064.78,0,2.8,40064.78,0,2.8,40064.78,0,2.8,40064.78,0,2.8,40064.78,0,2.8,40064.78,0,2.8,40064.78,0,2.8,40064.78,0,2.8
5/6/2013,518,1063,26.5,92817.31,1063,26.5,92817.31,1063,26.5,92817.31,1063,26.5,92817.31,1063,26.5,92817.31,1063,26.5,92817.31,1063,26.5,92817.31,1063,26.5,92817.31,1063,26.5,92817.31,1063,26.5,92817.31,1063,26.5,92817.31,1063,26.5,92817.31,1063,26.5,92817.31,1063,26.5,92817.31,1063,26.5,92817.31,1063,26.5,92817.31,1063,26.5,92817.31,1063,26.5
5/6/2013,524,9988,24.7,342271.605,9988,24.7,342271.605,9988,24.7,342271.605,9988,24.7,342271.605,9988,24.7,342271.605,9988,24.7,342271.605,9988,24.7,342271.605,9988,24.7,342271.605,9988,24.7,342271.605,9988,24.7,342271.605,9988,24.7,342271.605,9988,24.7,342271.605,9988,24.7,342271.605,9988,24.7,342271.605,9988,24.7,342271.605,9988,24.7,342271.605,9988,24.7,342271.605,9988,24.7
5/6/2013,528,8757,14.8,143173.276,8757,14.8,143173.276,8757,14.8,143173.276,8757,14.8,143173.276,8757,14.8,143173.276,8757,14.8,143173.276,8757,14.8,143173.276,8757,14.8,143173.276,8757,14.8,143173.276,8757,14.8,143173.276,8757,14.8,143173.276,8757,14.8,143173.276,8757,14.8,143173.276,8757,14.8,143173.276,8757,14.8,143173.276,8757,14.8,143173.276,8757,14.8,143173.276,8757,14.8
5/6/2013,534,5259,20.7,150884.577,5259,20.7,150884.577,5259,20.7,150884.577,5259,20.7,150884.577,5259,20.7,150884.577,5259,20.7,150884.577,5259,20.7,150884.577,5259,20.7,150884.577,5259,20.7,150884.577,5259,20.7,150884.577,5259,20.7,150884.577,5259,20.7,150884.577,5259,20.7,150884.577,5259,20.7,150884.577,5259,20.7,150884.577,5259,20.7,150884.577,5259,20.7,150884.577,5259,20.7
5/6/2013,539,5839,14.9,122443.73,5839,14.9,122443.73,5839,14.9,122443.73,5839,14.9,122443.73,5839,14.9,122443.73,5839,14.9,122443.73,5839,14.9,122443.73,5839,14.9,122443.73,5839,14.9,122443.73,5839,14.9,122443.73,5839,14.9,122443.73,5839,14.9,122443.73,5839,14.9,122443.73,5839,14.9,122443.73,5839,14.9,122443.73,5839,14.9,122443.73,5839,14.9,122443.73,5839,14.9
